Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Pierre Lees-Melou,FRA,MF,Norwich City,28,1993,33,27,2265,25.2,1,0,1,1,0,0,5,0,1.6,1.6,1.9,3.6
Aaron Lennon,ENG,"MF,FW",Burnley,34,1987,28,17,1551,17.2,2,0,2,2,0,0,2,0,1.1,1.1,0.5,1.6
Bernd Leno,GER,GK,Arsenal,29,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jamal Lewis,NIR,DF,Newcastle Utd,23,1998,5,4,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Victor Lindelöf,SWE,DF,Manchester Utd,27,1994,28,26,2355,26.2,0,2,2,0,0,0,4,0,0.2,0.2,0.6,0.8
Jesse Lingard,ENG,"FW,MF",Manchester Utd,28,1992,16,2,367,4.1,2,0,2,2,0,0,1,0,0.6,0.6,0.3,1.0
Valentino Livramento,ENG,DF,Southampton,18,2002,28,25,2202,24.5,1,1,2,1,0,0,2,0,1.4,1.4,2.7,4.1
Diego Llorente,ESP,DF,Leeds United,27,1993,28,28,2340,26.0,3,0,3,3,0,0,7,0,1.0,1.0,0.1,1.0
Hugo Lloris,FRA,GK,Tottenham,34,1986,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2
Giovani Lo Celso,ARG,"MF,FW",Tottenham,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3
Jürgen Locadia,NED,"MF,FW",Brighton,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2
Ruben Loftus-Cheek,ENG,"MF,DF",Chelsea,25,1996,24,13,1394,15.5,0,2,2,0,0,0,1,0,1.2,1.2,2.4,3.6
Kevin Long,IRL,DF,Burnley,30,1990,6,4,410,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2
Shane Long,IRL,FW,Southampton,34,1987,13,3,308,3.4,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1.0
Sean Longstaff,ENG,MF,Newcastle Utd,23,1997,24,15,1464,16.3,1,1,2,1,0,0,1,0,0.7,0.7,0.8,1.6
Ademola Lookman,NGA,"FW,MF",Leicester City,23,1997,26,16,1453,16.1,6,0,6,6,0,0,2,0,4.5,4.5,1.9,6.4
Jonas Lössl,DEN,GK,Brentford,32,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Imran Louza,MAR,MF,Watford,22,1999,20,17,1416,15.7,0,0,0,0,0,0,6,0,1.2,1.2,1.1,2.3
Matthew Lowton,ENG,DF,Burnley,32,1989,25,20,1772,19.7,1,2,3,1,0,0,3,1,0.7,0.7,2.1,2.8
Douglas Luiz,BRA,MF,Aston Villa,23,1998,34,31,2715,30.2,2,3,5,2,0,0,7,0,2.0,2.0,2.5,4.4
Romelu Lukaku,BEL,FW,Chelsea,28,1993,26,16,1589,17.7,8,0,8,7,1,1,1,0,6.6,5.8,3.0,8.8
Lyanco,BRA,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4
Alexis Mac Allister,ARG,"MF,FW",Brighton,22,1998,33,22,2123,23.6,5,2,7,3,2,3,4,0,6.3,4.0,1.9,5.9
James Maddison,ENG,"MF,FW",Leicester City,24,1996,35,28,2459,27.3,12,8,20,12,0,0,3,0,7.5,7.5,5.1,12.7
Harry Maguire,ENG,DF,Manchester Utd,28,1993,30,28,2515,27.9,1,0,1,1,0,0,9,1,1.9,1.9,0.1,2.1
Riyad Mahrez,ALG,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,16,7,4,5,0,0,10.1,6.2,4.2,10.4
Ainsley Maitland-Niles,ENG,MF,Arsenal,23,1997,8,2,268,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3
Sadio Mané,SEN,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,18,16,0,0,5,0,17.2,17.2,5.2,22.5
Javier Manquillo,ESP,DF,Newcastle Utd,27,1994,19,15,1257,14.0,1,2,3,1,0,0,5,0,0.3,0.3,0.3,0.6
Fernando Marçal,BRA,"MF,DF",Wolves,32,1989,18,17,1449,16.1,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1.0
Solly March,ENG,"DF,FW",Brighton,27,1994,31,17,1746,19.4,0,2,2,0,0,0,1,0,1.2,1.2,2.3,3.5
Pablo Marí,ESP,DF,Arsenal,27,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2
Anthony Martial,FRA,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7
Martinelli,BRA,"FW,MF",Arsenal,20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,7.3,6.6,4.3,11.0
Emiliano Martínez,ARG,GK,Aston Villa,28,1992,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0
Adam Masina,MAR,DF,Watford,27,1994,15,13,1077,12.0,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1.0
Arthur Masuaku,COD,"DF,FW",West Ham,27,1993,13,6,650,7.2,1,1,2,1,0,0,1,0,0.1,0.1,0.8,0.9
Juan Mata,ESP,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6
Jean-Philippe Mateta,FRA,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,6,5,0,0,2,0,5.8,5.8,1.3,7.1
Nemanja Matić,SRB,MF,Manchester Utd,32,1988,23,16,1382,15.4,0,4,4,0,0,0,3,0,0.2,0.2,2.0,2.2
Joël Matip,CMR,DF,Liverpool,29,1991,31,31,2790,31.0,3,3,6,3,0,0,2,0,3.4,3.4,1.3,4.6
Neal Maupay,FRA,FW,Brighton,24,1996,32,25,2276,25.3,8,2,10,7,1,2,7,0,8.7,7.1,2.4,9.5
Bryan Mbeumo,CMR,FW,Brentford,21,1999,35,34,2905,32.3,4,7,11,3,1,1,4,0,9.3,8.5,3.7,12.2
James McArthur,SCO,MF,Crystal Palace,33,1987,21,15,1439,16.0,0,3,3,0,0,0,4,0,0.3,0.3,1.4,1.7
James Mcatee,ENG,"MF,FW",Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1
Kasey McAteer,ENG,FW,Leicester City,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Liam McCarron,SCO,FW,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Alex McCarthy,ENG,GK,Southampton,31,1989,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
John McGinn,SCO,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,7,3,0,0,8,0,1.5,1.5,5.3,6.8
Stuart McKinstry,SCO,MF,Leeds United,18,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kenny McLean,SCO,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,1,0,0,3,0,1.8,1.8,0.8,2.6
Dwight McNeil,ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,1,0,0,0,1,0,2.3,2.3,4.6,6.9
Scott McTominay,SCO,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,2,1,0,0,9,0,1.4,1.4,1.5,2.9
Ben Mee,ENG,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,3,0,0,3,0,2.3,2.3,1.0,3.4
Hannibal Mejbri,TUN,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1
Benjamin Mendy,FRA,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1
Edouard Mendy,SEN,GK,Chelsea,29,1992,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
Nampalys Mendy,SEN,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
Illan Meslier,FRA,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Luka Milivojević,SRB,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0
James Milner,ENG,"MF,DF",Liverpool,35,1986,24,9,853,9.5,0,1,1,0,0,0,2,0,0.4,0.4,2.2,2.5
Yerry Mina,COL,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3
Takumi Minamino,JPN,"FW,MF",Liverpool,26,1995,11,1,186,2.1,3,0,3,3,0,0,1,0,1.6,1.6,0.5,2.2
Tyrone Mings,ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,1.6,1.6,1.6,3.3
Tyrick Mitchell,ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,2,0,0,0,1,0,0.2,0.2,1.7,1.9
